Director,Film_Country,Film_Date,Film_Name,Film_Rate,Stars
Francis Ford Coppola,USA,15 August 1979,Apocalypse Now,8.4,"Martin Sheen,Marlon Brando,Robert Duvall"
Fernando Meirelles,USA,13 February 2004,City of God,8.6,"Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele"
Tim Burton,USA,14 December 1990,Edward Scissorhands,7.9,"Johnny Depp,Winona Ryder,Dianne Wiest"
Brian De Palma,USA,3 June 1987,The Untouchables,7.9,"Kevin Costner,Sean Connery,Robert De Niro"
Sean Penn,USA,19 October 2007,Into the Wild,8.1,"Emile Hirsch,Vince Vaughn,Catherine Keener"
David Lynch,USA,10 October 1980,The Elephant Man,8.1,"Anthony Hopkins,John Hurt,Anne Bancroft"
Lasse Hallström,Netherlands,17 December 2009,Hachi: A Dog's Tale,8.1,"Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa"
Je-kyu Kang,USA,24 September 2004,Tae Guk Gi: The Brotherhood of War,8.1,"Dong-Gun Jang,Won Bin,Eun-ju Lee"
Ron Howard,USA,4 January 2002,A Beautiful Mind,8.2,"Russell Crowe,Ed Harris,Jennifer Connelly"
M. Night Shyamalan,USA,6 August 1999,The Sixth Sense,8.1,"Bruce Willis,Haley Joel Osment,Toni Collette"
Stanley Kubrick,USA,2 February 1972,A Clockwork Orange,8.3,"Malcolm McDowell,Patrick Magee,Michael Bates"
Lee Unkrich,USA,18 June 2010,Toy Story 3,8.3,"Tom Hanks,Tim Allen,Joan Cusack"
James Cameron,USA,18 July 1986,Aliens,8.3,"Sigourney Weaver,Michael Biehn,Carrie Henn"
Sam Mendes,USA,1 October 1999,American Beauty,8.3,"Kevin Spacey,Annette Bening,Thora Birch"
Jean-Pierre Jeunet,USA,8 February 2002,Amélie,8.3,"Audrey Tautou,Mathieu Kassovitz,Rufus"
Andrew Stanton,USA,27 June 2008,WALL·E,8.4,"Ben Burtt,Elissa Knight,Jeff Garlin"
Stanley Kubrick,USA,13 June 1980,The Shining,8.4,"Jack Nicholson,Shelley Duvall,Danny Lloyd"
Charles Chaplin,USA,7 March 1941,The Great Dictator,8.4,"Charles Chaplin,Paulette Goddard,Jack Oakie"
Stanley Kubrick,USA,25 December 1957,Paths of Glory,8.4,"Kirk Douglas,Ralph Meeker,Adolphe Menjou"
Giuseppe Tornatore,USA,23 February 1990,Cinema Paradiso,8.5,"Philippe Noiret,Enzo Cannavale,Antonella Attili"
Aamir Khan,India,21 December 2007,Like Stars on Earth,8.4,"Darsheel Safary,Aamir Khan,Tisca Chopra"
Rajkumar Hirani,Netherlands,24 December 2009,3 Idiots,8.4,"Aamir Khan,Madhavan,Mona Singh"
Wilson Yip,China,12 December 2008,Ip Man,8.0,"Donnie Yen,Simon Yam,Siu-Wong Fan"
Joss Whedon,USA,4 May 2012,The Avengers,8.0,"Robert Downey Jr.,Chris Evans,Scarlett Johansson"
Paul Greengrass,USA,3 August 2007,The Bourne Ultimatum,8.0,"Matt Damon,Edgar Ramírez,Joan Allen"
Martin Scorsese,USA,19 February 2010,Shutter Island,8.1,"Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo"
Bryan Singer,USA,23 May 2014,X-Men: Days of Future Past,8.0,"Patrick Stewart,Ian McKellen,Hugh Jackman"
